oid	accepted_name	accepted_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	specimen_no	pbdb_occurrences	gbif_occurrences	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
74	Shonisaurus popularis	species	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	UNLV MNH FZVE-1, UNLV MNH FZVE-2, UNLV MNH FZVE-3	908629		38.876667	-117.591393					
75	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation		Chacay Melelhue, Argentina	AR	Fernandez2007JP	MLP 85-I-15-1	1006673		-39.194443	-69.667503					
76	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation		Trincajeura Creek, Argentina	AR	Fernandez2007JP	MOZ P6097	1006674		-38.112499	-70.495834					
77	Caypullisaurus bonapartei	species	145.73	139.39	Berriasian	Vaca Muerta Formation		Yesera del Tromen, Argentina	AR	Fernandez2007JP	MOZ P6139	1006675		-39.194443	-69.667503					
78	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation	Virgatospinctes mendozanus Ammonite Biozone	Cerro Lotena, Argentina	AR	Fernandez1997JP	MACN-N-32			-39.19444	-69.6675					
79	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation	Virgatospinctes mendozanus Ammonite Biozone	Cerro Lotena, Argentina	AR	Fernandez1997JP	MLP 853-XI-16-1			-39.19444	-69.6675					
80	Cetarthrosaurus walkeri	species	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	CAMSM B58069, CAMSM X50170	1191684		52.200001	0.133333					
81	Cartorhynchus lenticarpus	species	247.14	247.06	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015N	AGM CH-628-16	1329759		31.6206	117.819702				120	bed 633
82	Ophthalmosauridae	clade	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO	NHMUK 32406,NHMUK R16,NHMUK 47268,CAMSM B58042,CAMSM B58045,CAMSM B58050,CAMSM B58053,CAMSM B58055,CAMSM TN1727,CAMSM TN1755,IRSNB GS3,LEICT G65.1991,NHMUK R2343,NHMUK R4513,NHMUK 35348,NHMUK 43989,IRSNB GS60,									
83	Ophthalmosauridae	clade	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	NHMUK R16, NHMUK R17									
84	Platypterygiinae	clade	96.08	94.57	Cenomanian	Lower Chalk Formation	Acanthoceras rhotomagense–Calycoceras guerangeri ammonite biozones	Hunstanton, Cambridgeshire, UK	GB	Fischer2014PO	CAMSM B20643									
85	Platypterygiinae	clade	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO	CAMSM B58062, CAMSM B58057									
86	Platypterygius	genus	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO		1191678		52.200001	0.133333					
87	Platypterygius	genus	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO		1191679		51.083332	1.183333					
88	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO		1191680		44.333332	5.166667					
89	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	RGHP SI 1	1273659		44.183331	5.9					
90	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	RGHP PR 1	1273660		44.209442	6.474722					
91	Platypterygius	genus	107.59	100.5	Late Albian	Gault Formation			GB	Fischer2014PO	NHMUK 36385	1292453		51.083332	1.183333					
92	Sisteronia seeleyi	species	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO	CAMSM B58257_67	1191674		52.200001	0.133333					
93	Sisteronia seeleyi	species	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	NHMUK R16, NHMUK R17, NHMUK R2890, NHMUK 47232	1191675		51.083332	1.183333					
94	Sisteronia seeleyi	species	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	RGHP SI 2	1191676		44.183331	5.9					
95	Sisteronia seeleyi	species	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO		1191677		44.333332	5.166667					Private collection of L. Ebbo
96	cf. Sisteronia seeleyi	species	100.25	93.9	Cenomanian	Stoilensky/Kursk fauna			RU	Fischer2016P		1256370		51.288612	37.75222					
97	Ichthyosauria	clade	154.73	147.72	late Kimmeridgian–middle Tithonian	Hauberg Mountain Formation	Virgatosphinctes densistriatus-densiplicatus Ammonite Group	Bean Peak, Ellsworth Land, Antarctica	AQ	Hikuroa2009AS	BAS R.7514.14.10	1134128		-75.916664	-69.916664					
98	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Fremont County, Wyoming, USA	US	Mehl1928JSLDUG	UM 503	899260		42.997442	-108.574351					Location taken as approximate centre of county
99	Ophthalmosaurus natans	species	161.18	159.88	Lower–Middle Oxfordian	Sundance Formation	Cardioceras cordatum–Perisphinctes plicatilis ammonite biozones	Natrona County, Wyoming, USA	US	Drake1994FAFCWGAG	UW 24804			42.953025	-106.80494					Location taken as approximate centre of county
100	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Carbon County, Wyoming	US	Gilmore1905MCM	CM 878	902469		41.695073	-106.870175					Location taken as approximate centre of county
