oid	﻿taxon	taxon_rank	max_ma	min_ma	stratigraphy	lithostratigraphy	biostratigraphy	locality	country_code	references	pbdb_occurrences	specimen_no	lat	lng	utm	paleo_lng	paleo_lat	higher_than	comments
62	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1186495	UCMP 9017	40.405834	-122.551231					as Shastasaurus alexandrae; propsed neotype McGowan2003
63	Shastasaurus pacificus	species	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1419470	UCMP 9083	40.816376	-122.051582					as Shastasaurus altispinus
64	Ichthyosauromorpha	clade	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC	1419478	UCMP 9075	40.724998	-122.260002					as Shastasaurus careyi
65	Shastasauridae	clade	232.82	231.25	Lower Tuvalian	Hosselkus Limestone Formation	Tropites subbulatus Ammonite Biozone	Shasta County, California, USA	US	Merriam1908MUC		UCMP 9614	40.820831	-122.190834					as Shastasaurus careyi
66	Shastasaurus pacificus	species	233.6	232.82	Lower Tuvalian	Antimonio Formation	Tropites dilleri Ammonite Biozone	El Antimonio District, Sonora, Mexico	MX	Callaway1989JP	909072	UCMP 27141, UCMP 27142, UCMP 27146	30.75	-112.599998					as Shastasaurus careyi
67	Shastasaurus	genus	228.45	205.81	Norian	Martin Bridge Limestone			US	Orr1986UGSPP	1108583		44.943344	-117.333252					
68	Shastasaurus sikkaniensis	species	216.58	215.33	Alaunian	Pardonet Formation	Mockina postera Conodont Biozone	Chicken Creek, British Columbia, Canada	CA	Nicholls2004JVP	882304	TMP 94.378.2	57.263611	-123.015282					
69	Euichthyosauria	clade	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	1419479	MNLV MNE FZVE-5	38.876667	-117.591393					as Shonisaurus mulleri
70	Euichthyosauria	clade	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	1419480	MNLV MNH FZVE-7	38.876667	-117.591393					as Shonisaurus silberlingi
71	cf. Shonisaurus	genus	208.56	201.36	Rhaetian				DE	Sander2016GPW	1546985		51.565556	9.051111					
72	Ichthyosauria	clade	208.56	201.36	Rhaetian			Bonenburg, Warburg, North Rhine-Westphalia, Germany	DE	Sander2016GPW		LWL MfN P64363	51.565556	9.051111					
73	Shonisaurus popularis	species	233.6	217.52	Tuvalian–Lacian				IT	DallaVecchia2002BSPI	895626		46.533333	12.133333					
74	Shonisaurus popularis	species	231.25	228.45	Upper Tuvalian		Klamathites macrolobatus Ammonite Biozone	Berlin Ichthyosaur State Park, Nevada, USA	US	Camp1980PAPS	908629	UNLV MNH FZVE-1, UNLV MNH FZVE-2, UNLV MNH FZVE-3	38.876667	-117.591393					
75	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation		Chacay Melelhue, Argentina	AR	Fernandez2007JP	1006673	MLP 85-I-15-1	-39.194443	-69.667503					
76	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation		Trincajeura Creek, Argentina	AR	Fernandez2007JP	1006674	MOZ P6097	-38.112499	-70.495834					
77	Caypullisaurus bonapartei	species	145.73	139.39	Berriasian	Vaca Muerta Formation		Yesera del Tromen, Argentina	AR	Fernandez2007JP	1006675	MOZ P6139	-39.194443	-69.667503					
78	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation	Virgatospinctes mendozanus Ammonite Biozone	Cerro Lotena, Argentina	AR	Fernandez1997JP		MACN-N-32	-39.19444	-69.6675					
79	Caypullisaurus bonapartei	species	147.72	145.73	Late Tithonian	Vaca Muerta Formation	Virgatospinctes mendozanus Ammonite Biozone	Cerro Lotena, Argentina	AR	Fernandez1997JP		MLP 853-XI-16-1	-39.19444	-69.6675					
80	Cetarthrosaurus walkeri	species	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	1191684	CAMSM B58069, CAMSM X50170	52.200001	0.133333					
81	Cartorhynchus lenticarpus	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Motani2015N	1329759	AGM CH-628-16	31.6206	117.819702				120	bed 633
82	Ophthalmosauridae	clade	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO		NHMUK 32406,NHMUK R16,NHMUK 47268,CAMSM B58042,CAMSM B58045,CAMSM B58050,CAMSM B58053,CAMSM B58055,CAMSM TN1727,CAMSM TN1755,IRSNB GS3,LEICT G65.1991,NHMUK R2343,NHMUK R4513,NHMUK 35348,NHMUK 43989,IRSNB GS60,							
83	Ophthalmosauridae	clade	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO		NHMUK R16, NHMUK R17							
84	Platypterygiinae	clade	96.08	94.57	Cenomanian	Lower Chalk Formation	Acanthoceras rhotomagense–Calycoceras guerangeri ammonite biozones	Hunstanton, Cambridgeshire, UK	GB	Fischer2014PO		CAMSM B20643							
85	Platypterygiinae	clade	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO		CAMSM B58062, CAMSM B58057							
86	Platypterygius	genus	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO	1191678		52.200001	0.133333					
87	Platypterygius	genus	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	1191679		51.083332	1.183333					
88	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	1191680		44.333332	5.166667					
89	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	1273659	RGHP SI 1	44.183331	5.9					
90	Platypterygius	genus	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	1273660	RGHP PR 1	44.209442	6.474722					
91	Platypterygius	genus	107.59	100.5	Late Albian	Gault Formation			GB	Fischer2014PO	1292453	NHMUK 36385	51.083332	1.183333					
92	Sisteronia seeley	species	100.25	98.37	Early Cenomanian	Cambridge Greensand Member	Mantelliceras mantelli Ammonite Biozone	Cambridge, UK	GB	Fischer2014PO	1191674	CAMSM B58257_67	52.200001	0.133333					
93	Sisteronia seeley	species	107.59	100.5	Late Albian	Gault Formation		Cambridge, UK	GB	Fischer2014PO	1191675	NHMUK R16, NHMUK R17, NHMUK R2890, NHMUK 47232	51.083332	1.183333					
94	Sisteronia seeley	species	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	1191676	RGHP SI 2	44.183331	5.9					
95	Sisteronia seeley	species	113.14	107.59	Early–Middle Albian	Marnes Bleues			FR	Fischer2014PO	1191677		44.333332	5.166667					Private collection of L. Ebbo
96	cf. Sisteronia seeleyi	species	100.25	93.9	Cenomanian	Stoilensky/Kursk fauna			RU	Fischer2016P	1256370		51.288612	37.75222					
97	Ichthyosauria	clade	154.73	147.72	late Kimmeridgian–middle Tithonian	Hauberg Mountain Formation	Virgatosphinctes densistriatus-densiplicatus Ammonite Group	Bean Peak, Ellsworth Land, Antarctica	AQ	Hikuroa2009AS	1134128	BAS R.7514.14.10	-75.916664	-69.916664					
98	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Fremont County, Wyoming, USA	US	Mehl1928JSLDUG	899260	UM 503	42.997442	-108.574351					Location taken as approximate centre of county
99	Ophthalmosaurus natans	species	161.18	159.88	Lower–Middle Oxfordian	Sundance Formation	Cardioceras cordatum–Perisphinctes plicatilis ammonite biozones	Natrona County, Wyoming, USA	US	Drake1994FAFCWGAG		UW 24804	42.953025	-106.80494					Location taken as approximate centre of county
100	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Carbon County, Wyoming	US	Gilmore1905MCM	902469	CM 878	41.695073	-106.870175					Location taken as approximate centre of county
101	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Gilmore1905MCM		CM 603	41.699346	-105.698581					Location taken as approximate centre of county
102	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Big Horn County, Wyoming	US	Gilmore1905MCM	343565	CM 919	44.571552	-108.029104					Location taken as approximate centre of county
103	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Carbon County, Wyoming	US	Gilmore1906MCM		CM 1441	41.695073	-106.870175					Location taken as approximate centre of county
104	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Knight1903AJS,Gilmore1905MCM		UW specimen S	41.699346	-105.698581					Location taken as approximate centre of county
105	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Marsh1879AMNH,Gilmore1905MCM		YPM 1952	41.699346	-105.698581					Location taken as approximate centre of county
106	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Freemont County, Wyoming	US	Gilmore1907AJS	880206	UW specimen DB	42.997442	-108.574351					Location taken as approximate centre of county
107	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Albany County, Wyoming	US	Marsh1895AJS,Gilmore1905MCM		YPM 1955	41.699346	-105.698581					Location taken as approximate centre of county
108	Ophthalmosaurus natans	species	163.97	159.49	Upper Callovian–Middle Oxfordian	Sundance Formation		Natrona County, Wyoming, USA	US	Wahl2009P,Massare2014GM		UW 24216/24816	42.953025	-106.80494					Location taken as approximate centre of county
109	Ophthalmosaurus natans	species	163.97	161.18	Upper Callovian–Lower Oxfordian	Sundance Formation	Quenstedtoceras ammonite biozones	Natrona County, Wyoming, USA	US	Massare2005P	45529	UW 34653	42.953025	-106.80494					Location taken as approximate centre of county
110	Undorosaurus gorodischensis	species	147.45	146.9	Middle Volgian		Epivirgatites nikitini Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	293808	UPM EP-II-20(572), UPM EP-II-21(1075)	54.324444	48.739445					
111	Undorosaurus gorodischensis	species	147.52	147.2	Middle Volgian	Agardhfjellet Formation	Crendonites aguinus Ammonite Biozone?	Svalbard, Norway	SJ	Druckenmiller2012NJG,Zverkov2019JSP	1077966	PMO 214.578	78.336601	15.8349					
112	Undorosaurus gorodischensis	species	146.67	146.43	Upper Volgian		Garniericeras catenulatum Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	293807	UPM EP-II-23(744)	54.616669	48.366669					
113	Undorosaurus gorodischensis	species	147.93	147.45	Middle Volgian		Virgatites virgatus Ammonite Biozone	Moscow Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	293810	UPM EP-II-27(870)	55	37					
114	Undorosaurus kielanae	species	149.59	146.9	Middle Volgian	Kcynia Formation		Tomaszów Mazowiecki, Poland	PL	Tyborowski2016APP	1418704	GMUL 3579-81	51.376389	20.135555					
115	Undorosaurus nessovi	species	147.93	147.45	Middle Volgian		Virgatites virgatus Ammonite Biozone	Ulyanovsk Region, Russia	RU	Efimov1999PZa,Zverkov2019JSP	293809	UPM EP-II-24(785), UPM EP-II-25(900)	54.616669	48.366669					
116	Undorosaurus trautscholdi	species	147.45	146.67	Upper Volgian		Epivirgatites nikitini–Kachpurites fulgens ammonite biozones	Moscow Region, Russia	RU	Arkhangelsky2014PZIR	1236524	GSM 1503	55.766666	37.483334					
117	Chacaicosaurus cayi	species	170.3	169.45	lower Bajocian	Los Molles Formation		Chacaico Sur, Neuquén, Argentina	AR	Fernandez1994A	1108561	MOZ 5803 PV	-39.25	-70.300003					
118	Chaohusaurus brevifemoralis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa	1475021	AGM AGB7401	31.6206	117.819702				125	bed 621
119	Chaohusaurus brevifemoralis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa		GMPKU P-3086	31.6206	117.819702				120	bed 633
120	Sclerocormus parviceps	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Jiang2016SR	1329760	AGM AGB6265	31.6206	117.819702				118	bed 719
121	Chaohusaurus brevifemoralis	species	247.14	247.04	Spathian	Nanlinghu Formation	Subcolumbites Ammonite Biozone	Majiashan Quarry, Anhui Province, China	CN	Huang2019Pa		AGM AGB7403	31.6206	117.819702				117	bed 628
