Species	Status	min_age	max_age
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	100.5	107.59
Maiaspondylus_cantabridgiensis	extinct	110.87	111.27
Maiaspondylus_cantabridgiensis	extinct	110.87	111.27
Eretmorhipis_carrolldongi	extinct	246.8	247.39
Hauffiopteryx_altera	extinct	182.05	182.9
Hauffiopteryx_typicus	extinct	185.09	188.29
Hauffiopteryx_typicus	extinct	182.05	182.9
Hauffiopteryx_typicus	extinct	182.05	182.9
Hauffiopteryx_typicus	extinct	182.05	182.9
Hauffiopteryx_typicus	extinct	180.36	182.9
Hauffiopteryx_typicus	extinct	180.36	182.9
Hauffiopteryx_typicus	extinct	180.36	182.9
Hauffiopteryx_typicus	extinct	180.36	182.9
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	151.04	151.5
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	150.18	150.66
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_enthekiodon	extinct	147.72	154.73
Nannopterygius_saveljeviensis	extinct	147.45	147.93
Nannopterygius_saveljeviensis	extinct	147.53	149.59
Nannopterygius_yasykovi	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_saveljeviensis	extinct	146.9	147.45
Nannopterygius_yasykovi	extinct	146.45	146.96
Nannopterygius_saveljeviensis	extinct	146.45	146.96
Nannopterygius_saveljeviensis	extinct	146.45	146.72
Nannopterygius_yasykovi	extinct	147.45	147.93
Nannopterygius_yasykovi	extinct	147.45	147.93
Nannopterygius_saveljeviensis	extinct	147.53	149.59
Nannopterygius_borealis	extinct	141.15	141.75
Nannopterygius_borealis	extinct	144.1	144.67
Protoichthyosaurus_prostaxalis	extinct	196.4	197.95
Protoichthyosaurus_prostaxalis	extinct	200.91	201.08
Protoichthyosaurus_prostaxalis	extinct	200.91	201.08
Eurhinosaurus_longirostris	extinct	180.36	181.21
Ichthyosaurus_conybeari	extinct	197.95	199.36
Ichthyosaurus_conybeari	extinct	197.95	200.16
Ichthyosaurus_conybeari	extinct	197.95	200.16
Ichthyosaurus_conybeari	extinct	190.74	191.05
Temnodontosaurus_trigonodon	extinct	180.36	183.7
Brachypterygius_extremus	extinct	152.06	157.25
Brachypterygius_extremus	extinct	152.06	157.25
Guizhouichthyosaurus_tangae	extinct	244.14	244.34
Guizhouichthyosaurus_tangae	extinct	244.14	244.34
Ophthalmosaurus_icenicus	extinct	152.06	163.1
Wahlisaurus_massarae	extinct	201.16	201.36
Temnodontosaurus_trigonodon	extinct	180.36	183.7
Ichthyosaurus_acutirostris	extinct	180.36	183.7
Ichthyosaurus_somersetensis	extinct	200.99	201.08
Tholodus_schmidi	extinct	237	246.8
Ichthyosaurus_communis	extinct	198.89	199.76
Temnodontosaurus_platyodon	extinct	180.36	182.9
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
Platypterygius_australis	extinct	100.5	107.59
