accepted_name	max_ma	min_ma
Contectopalatus atavus	244.34	243.43
Contectopalatus atavus	244.34	243.43
Contectopalatus atavus	244.34	244.14
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus wolonggangense	235.59	233.6
Guizhouichthyosaurus wolonggangense	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Guizhouichthyosaurus tangae	235.59	233.6
Gulosaurus helmi	248.2	246.8
Himalayasaurus tibetensis	228.45	209.56
Hudsonelpidia brevirostris	224.31	221.44
Hudsonelpidia brevirostris	224.31	221.44
Isfjordosaurus minor	247.04	246.8
Macgowania janiceps	217.52	214.07
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus cornalianus	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus kuhnschneyderi	242.03	241.5
Mixosaurus xindianensis	244.34	244.14
Parvinatator wapitiensis	248.2	246.8
Phantomosaurus neubigi	243.43	241.5
Qianichthyosaurus xingyiensis	241.5	237
Qianichthyosaurus xingyiensis	241.5	237
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Qianichthyosaurus zhoui	235.59	233.6
Quasianosteosaurus vikinghoegdai	247.04	246.8
Sclerocormus parviceps	247.14	247.06
Shastasaurus liangae	235.59	233.6
Shastasaurus liangae	235.59	233.6
Shastasaurus liangae	235.59	233.6
Shastasaurus liangae	235.59	233.6
Shastasaurus liangae	235.59	233.6
Toretocnemus zitteli	232.82	231.25
Toretocnemus californicus	232.82	231.25
Toretocnemus californicus	233.6	228.45
Toretocnemus californicus	214.07	209.56
Toretocnemus californicus	214.07	209.56
Shastasaurus pacificus	233.6	232.82
Shastasaurus pacificus	233.6	232.82
Shastasaurus pacificus	233.6	232.82
Wimanius odontopalatus	242.03	241.5
Xinminosaurus catactes	244.34	243.43
Grippia longirostris	248.2	246.8
Grippia longirostris	248.2	246.8
Grippia longirostris	248.2	246.8
Mixosaurus kuhnschneyderi	244.34	243.43
Baisesaurus robustus	247.79	246.9
Eurhinosaurus longirostris	181.21	180.36
Eurhinosaurus longirostris	180.36	178.24
Eurhinosaurus longirostris	183.7	178.24
Eurhinosaurus longirostris	182.9	182.05
Eurhinosaurus longirostris	182.9	181.21
Eurhinosaurus longirostris	182.9	181.21
Eurhinosaurus longirostris	182.9	181.21
Eurhinosaurus longirostris	182.9	181.21
Eurhinosaurus longirostris	182.9	181.21
Eurhinosaurus longirostris	182.9	180.36
Eurhinosaurus longirostris	183.7	180.36
Eurhinosaurus longirostris	183.7	180.36
Eurhinosaurus longirostris	183.7	180.36
Excalibosaurus costini	199.36	197.95
Excalibosaurus costini	199.36	197.95
Gengasaurus nicosiae	153.55	150.94
Ichthyosaurus anningae	191.05	190.74
Ichthyosaurus anningae	199.4	183.7
Ichthyosaurus anningae	199.4	183.7
Ichthyosaurus anningae	200.16	193.24
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus breviceps	200.16	196.54
Ichthyosaurus larkini	201.36	201.16
Ichthyosaurus larkini	201.36	201.16
Ichthyosaurus larkini	201.36	201.16
Ichthyosaurus larkini	201.36	201.16
Ichthyosaurus somersetensis	201.36	201.16
Ichthyosaurus somersetensis	201.36	201.16
Ichthyosaurus somersetensis	201.36	201.16
Ichthyosaurus somersetensis	201.36	201.16
Ichthyosaurus somersetensis	201.36	201.16
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Ichthyosaurus communis	200.16	196.54
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	201.36	201.16
Protoichthyosaurus prostaxalis	200.16	196.54
Protoichthyosaurus applebyi	201.36	174.15
Protoichthyosaurus applebyi	199.36	197.95
Protoichthyosaurus applebyi	200.16	196.54
Leninia stellans	126.01	123.88
Leptonectes solei	195.12	194.65
Leptonectes solei	195.59	194.18
Leptonectes moorei	189.82	189.52
Leptonectes tenuirostris	201.36	201.16
